ano,sigla_uf,id_municipio,municipio,rede,ensino,anos_escolares,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa,nota_saeb_media_padronizada,ideb,projecao,posicao_estadual
2023,SE,2800407,Arauá,municipal,fundamental,iniciais (1-5),96.8,0.968348,192.57,174.89,4.818871,4.7,,17
2023,SE,2805505,Poço Verde,municipal,fundamental,iniciais (1-5),94.9,0.940737,191.31,182.87,4.939916,4.6,,25
2023,SE,2803708,Macambira,municipal,fundamental,iniciais (1-5),93.1,0.923663,189.87,184.28,4.938071,4.6,,25
2023,SE,2804300,Muribeca,municipal,fundamental,iniciais (1-5),94.2,0.944206,187.23,180.76,4.82369,4.6,,25
2023,SE,2801306,Capela,municipal,fundamental,iniciais (1-5),96.1,0.957981,188.73,177.04,4.784679,4.6,,25
2023,SE,2806107,Rosário do Catete,municipal,fundamental,iniciais (1-5),91.9,0.912729,194.11,185.45,5.04026,4.6,,25
2023,SE,2803401,Japoatã,municipal,fundamental,iniciais (1-5),92.0,0.92014,196.78,179.32,4.97976,4.6,,25
2023,SE,2802007,Divina Pastora,municipal,fundamental,iniciais (1-5),89.1,0.896002,187.64,191.2,5.021332,4.5,,31
2023,SE,2801504,Carmópolis,municipal,fundamental,iniciais (1-5),92.0,0.918508,191.03,180.72,4.895482,4.5,,31
2023,SE,2806800,São Domingos,municipal,fundamental,iniciais (1-5),90.8,0.906333,195.39,182.7,5.014688,4.5,,31
2023,SE,2801900,Cumbe,municipal,fundamental,iniciais (1-5),91.7,0.899758,198.17,181.99,5.054832,4.5,,31
2023,SE,2807006,São Miguel do Aleixo,municipal,fundamental,iniciais (1-5),92.3,0.923172,186.83,186.19,4.914783,4.5,,31
2023,SE,2804508,Nossa Senhora da Glória,municipal,fundamental,iniciais (1-5),89.9,0.899315,192.95,186.7,5.04085,4.5,,31
2023,SE,2804458,Nossa Senhora Aparecida,municipal,fundamental,iniciais (1-5),93.3,0.93338,192.4,176.69,4.848354,4.5,,31
2023,SE,2806305,Santa Luzia do Itanhy,municipal,fundamental,iniciais (1-5),91.8,0.921233,188.25,175.03,4.738974,4.4,,38
2023,SE,2805604,Porto da Folha,municipal,fundamental,iniciais (1-5),91.3,0.912285,191.06,174.85,4.789327,4.4,,38
2023,SE,2807105,Simão Dias,municipal,fundamental,iniciais (1-5),95.4,0.950223,182.21,172.57,4.578979,4.4,,38
2023,SE,2802908,Itabaiana,municipal,fundamental,iniciais (1-5),89.5,0.894526,192.49,180.35,4.916617,4.4,,38
2023,SE,2804904,Pacatuba,municipal,fundamental,iniciais (1-5),96.4,0.965804,179.52,174.28,4.558734,4.4,,38
2023,SE,2801009,Campo do Brito,municipal,fundamental,iniciais (1-5),89.8,0.900559,189.45,182.5,4.897693,4.4,,38
2023,SE,2803500,Lagarto,municipal,fundamental,iniciais (1-5),93.2,0.932433,184.37,177.42,4.708382,4.4,,38
2023,SE,2802106,Estância,municipal,fundamental,iniciais (1-5),91.9,0.917089,186.72,180.95,4.817412,4.4,,38
2023,SE,2800670,Boquim,municipal,fundamental,iniciais (1-5),90.0,0.901069,188.17,183.19,4.885811,4.4,,38
2023,SE,2804409,Neópolis,municipal,fundamental,iniciais (1-5),99.2,0.992337,175.65,166.81,4.349061,4.3,,47
2023,SE,2805000,Pedra Mole,municipal,fundamental,iniciais (1-5),86.5,0.847084,192.62,192.03,5.131461,4.3,,47
2023,SE,2805109,Pedrinhas,municipal,fundamental,iniciais (1-5),94.8,0.940758,179.08,172.64,4.520519,4.3,,47
2023,SE,2803104,Itabi,municipal,fundamental,iniciais (1-5),96.4,0.965478,174.65,172.29,4.429613,4.3,,47
2023,SE,2806206,Salgado,municipal,fundamental,iniciais (1-5),90.9,0.903734,181.67,179.52,4.695037,4.2,,51
2023,SE,2802601,Gracho Cardoso,municipal,fundamental,iniciais (1-5),92.0,0.926021,176.01,177.84,4.556477,4.2,,51
2023,SE,2801207,Canindé de São Francisco,municipal,fundamental,iniciais (1-5),87.1,0.870422,186.61,178.57,4.77204,4.2,,51
2023,SE,2801702,Cristinápolis,municipal,fundamental,iniciais (1-5),96.0,0.960665,176.97,168.16,4.398797,4.2,,51
2023,SE,2806602,Santo Amaro das Brotas,municipal,fundamental,iniciais (1-5),92.5,0.909424,173.29,177.67,4.501477,4.1,,55
2023,SE,2805703,Propriá,municipal,fundamental,iniciais (1-5),94.1,0.936394,177.84,164.42,4.3474,4.1,,55
2023,SE,2800506,Areia Branca,municipal,fundamental,iniciais (1-5),88.5,0.87601,184.24,173.91,4.642083,4.1,,55
2023,SE,2802205,Feira Nova,municipal,fundamental,iniciais (1-5),89.5,0.886343,183.06,171.85,4.58211,4.1,,55
2023,SE,2802403,Gararu,municipal,fundamental,iniciais (1-5),91.2,0.912017,179.82,167.03,4.432641,4.0,,59
2023,SE,2802809,Indiaroba,municipal,fundamental,iniciais (1-5),94.3,0.943288,171.29,163.61,4.207673,4.0,,59
2023,SE,2804201,Monte Alegre de Sergipe,municipal,fundamental,iniciais (1-5),82.4,0.814211,190.74,183.96,4.948856,4.0,,59
2023,SE,2800209,Aquidabã,municipal,fundamental,iniciais (1-5),94.8,0.948846,173.22,163.68,4.245778,4.0,,59
2023,SE,2804607,Nossa Senhora das Dores,municipal,fundamental,iniciais (1-5),93.1,0.920211,178.95,164.71,4.373856,4.0,,59
2023,SE,2804102,Moita Bonita,municipal,fundamental,iniciais (1-5),84.3,0.842777,189.73,175.5,4.775763,4.0,,59
2023,SE,2803609,Laranjeiras,municipal,fundamental,iniciais (1-5),87.0,0.86318,180.67,169.36,4.491226,3.9,,65
2023,SE,2804003,Maruim,municipal,fundamental,iniciais (1-5),86.7,0.867567,180.94,168.51,4.480924,3.9,,65
2023,SE,2803906,Malhador,municipal,fundamental,iniciais (1-5),88.6,0.871318,175.42,166.94,4.347035,3.8,,67
2023,SE,2805901,Riachuelo,municipal,fundamental,iniciais (1-5),88.4,0.876822,171.34,166.1,4.2539,3.7,,68
2023,SE,2802304,Frei Paulo,municipal,fundamental,iniciais (1-5),76.5,0.764383,190.33,173.77,4.755759,3.6,,69
2023,SE,2805406,Poço Redondo,municipal,fundamental,iniciais (1-5),90.2,0.892924,164.57,157.49,3.968156,3.5,,70
2023,SE,2800704,Brejo Grande,municipal,fundamental,iniciais (1-5),88.4,0.872243,164.26,159.86,4.005331,3.5,,70
2025,SE,2803005,Itabaianinha,municipal,fundamental,finais (6-9),98.9,0.989227,268.91,254.3,5.386833,5.3,,1
2025,SE,2801603,Cedro de São João,municipal,fundamental,finais (6-9),97.5,0.975307,253.76,262.64,5.273333,5.1,,2
2025,SE,2802700,Ilha das Flores,municipal,fundamental,finais (6-9),98.0,0.980825,257.52,254.25,5.196167,5.1,,2
2025,SE,2804102,Moita Bonita,municipal,fundamental,finais (6-9),89.3,0.897807,268.19,264.59,5.546333,5.0,,4
2025,SE,2803104,Itabi,municipal,fundamental,finais (6-9),97.5,0.9775,245.36,256.47,5.0305,4.9,,5
2025,SE,2806206,Salgado,municipal,fundamental,finais (6-9),96.7,0.968932,246.48,258.52,5.083333,4.9,,5
2025,SE,2803401,Japoatã,municipal,fundamental,finais (6-9),89.1,0.897493,254.05,264.32,5.306167,4.8,,7
2025,SE,2806701,São Cristóvão,municipal,fundamental,finais (6-9),98.0,0.980686,243.89,246.76,4.844167,4.8,,7
2025,SE,2800704,Brejo Grande,municipal,fundamental,finais (6-9),97.8,0.976647,255.76,231.29,4.784167,4.7,,9
2025,SE,2803500,Lagarto,municipal,fundamental,finais (6-9),89.3,0.898055,255.47,261.42,5.2815,4.7,,9
2025,SE,2804508,Nossa Senhora da Glória,municipal,fundamental,finais (6-9),92.8,0.924271,252.73,250.82,5.059167,4.7,,9
2025,SE,2807105,Simão Dias,municipal,fundamental,finais (6-9),93.4,0.936394,255.25,243.82,4.9845,4.7,,9
2025,SE,2802502,General Maynard,municipal,fundamental,finais (6-9),100.0,1.0,235.08,239.97,4.584167,4.6,,13
2025,SE,2803807,Malhada dos Bois,municipal,fundamental,finais (6-9),99.4,0.992589,240.32,239.18,4.658333,4.6,,13
2025,SE,2805000,Pedra Mole,municipal,fundamental,finais (6-9),89.9,0.894365,244.22,261.2,5.090333,4.6,,13
2025,SE,2807006,São Miguel do Aleixo,municipal,fundamental,finais (6-9),93.3,0.935685,241.51,254.31,4.930333,4.6,,13
2025,SE,2806404,Santana do São Francisco,municipal,fundamental,finais (6-9),97.3,0.971352,239.78,238.38,4.636,4.5,,17
2025,SE,2800308,Aracaju,municipal,fundamental,finais (6-9),93.4,0.937836,240.19,243.86,4.734167,4.4,,18
2025,SE,2800605,Barra dos Coqueiros,municipal,fundamental,finais (6-9),91.8,0.920767,239.87,246.71,4.776333,4.4,,18
2025,SE,2801405,Carira,municipal,fundamental,finais (6-9),88.9,0.894945,241.67,250.11,4.863,4.4,,18
2025,SE,2806800,São Domingos,municipal,fundamental,finais (6-9),94.3,0.946739,238.26,239.28,4.625667,4.4,,18
2025,SE,2800407,Arauá,municipal,fundamental,finais (6-9),90.3,0.91213,233.64,246.5,4.669,4.3,,22
2025,SE,2804904,Pacatuba,municipal,fundamental,finais (6-9),90.5,0.906242,243.03,239.15,4.703,4.3,,22
2025,SE,2805109,Pedrinhas,municipal,fundamental,finais (6-9),86.6,0.876568,234.36,256.91,4.8545,4.3,,22
2025,SE,2806909,São Francisco,municipal,fundamental,finais (6-9),87.5,0.877555,245.72,251.03,4.945833,4.3,,22
2025,SE,2807303,Telha,municipal,fundamental,finais (6-9),100.0,1.0,226.29,232.63,4.315333,4.3,,22
2025,SE,2807402,Tobias Barreto,municipal,fundamental,finais (6-9),91.0,0.912253,240.98,241.78,4.712667,4.3,,22
2025,SE,2801108,Canhoba,municipal,fundamental,finais (6-9),89.3,0.89597,243.98,240.33,4.7385,4.2,,28
2025,SE,2803203,Itaporanga d'Ajuda,municipal,fundamental,finais (6-9),88.0,0.886837,236.37,249.21,4.759667,4.2,,28
2025,SE,2804805,Nossa Senhora do Socorro,municipal,fundamental,finais (6-9),94.7,0.948878,230.95,235.08,4.433833,4.2,,28
2025,SE,2801207,Canindé de São Francisco,municipal,fundamental,finais (6-9),83.8,0.841445,241.36,248.71,4.8345,4.1,,31
2025,SE,2801306,Capela,municipal,fundamental,finais (6-9),96.4,0.96484,229.42,227.25,4.277833,4.1,,31
2025,SE,2801504,Carmópolis,municipal,fundamental,finais (6-9),84.5,0.846446,237.06,250.68,4.795667,4.1,,31
2025,SE,2801702,Cristinápolis,municipal,fundamental,finais (6-9),93.6,0.937903,232.24,233.21,4.424167,4.1,,31
2025,SE,2804300,Muribeca,municipal,fundamental,finais (6-9),94.5,0.948029,234.66,227.47,4.368833,4.1,,31
2025,SE,2806107,Rosário do Catete,municipal,fundamental,finais (6-9),92.8,0.934312,230.51,234.28,4.413167,4.1,,31
2025,SE,2807204,Siriri,municipal,fundamental,finais (6-9),84.1,0.848671,249.91,238.62,4.808833,4.1,,31
2025,SE,2802809,Indiaroba,municipal,fundamental,finais (6-9),88.9,0.891623,240.5,231.92,4.540333,4.0,,38
2025,SE,2802908,Itabaiana,municipal,fundamental,finais (6-9),84.4,0.847527,242.33,239.37,4.695,4.0,,38
2025,SE,2806503,Santa Rosa de Lima,municipal,fundamental,finais (6-9),84.4,0.853689,244.4,239.3,4.728333,4.0,,38
2025,SE,2807600,Umbaúba,municipal,fundamental,finais (6-9),86.7,0.870233,237.67,236.17,4.564,4.0,,38
2025,SE,2801009,Campo do Brito,municipal,fundamental,finais (6-9),80.0,0.803366,249.98,244.52,4.908333,3.9,,42
2025,SE,2802106,Estância,municipal,fundamental,finais (6-9),84.1,0.844143,237.36,242.13,4.658167,3.9,,42
2025,SE,2802601,Graccho Cardoso,municipal,fundamental,finais (6-9),96.3,0.965019,220.74,223.89,4.077167,3.9,,42
2025,SE,2803302,Japaratuba,municipal,fundamental,finais (6-9),86.2,0.8636,235.55,236.3,4.530833,3.9,,42
2025,SE,2804201,Monte Alegre de Sergipe,municipal,fundamental,finais (6-9),97.7,0.9653,219.17,225.31,4.074667,3.9,,42
2025,SE,2805802,Riachão do Dantas,municipal,fundamental,finais (6-9),89.4,0.895738,233.16,230.69,4.3975,3.9,,42
2025,SE,2800100,Amparo do São Francisco,municipal,fundamental,finais (6-9),76.4,0.743569,263.39,246.81,5.17,3.8,,48
2025,SE,2800670,Boquim,municipal,fundamental,finais (6-9),86.3,0.865032,235.89,229.75,4.427333,3.8,,48
2025,SE,2802007,Divina Pastora,municipal,fundamental,finais (6-9),94.3,0.939942,225.6,214.89,4.008167,3.8,,48
2025,SE,2804409,Neópolis,municipal,fundamental,finais (6-9),93.9,0.939524,220.17,224.23,4.073333,3.8,,48
2025,SE,2806602,Santo Amaro das Brotas,municipal,fundamental,finais (6-9),88.6,0.893359,228.61,228.41,4.283667,3.8,,48
2025,SE,2802304,Frei Paulo,municipal,fundamental,finais (6-9),81.6,0.822829,232.05,238.15,4.503333,3.7,,53
2025,SE,2804458,Nossa Senhora Aparecida,municipal,fundamental,finais (6-9),85.4,0.85905,220.08,235.84,4.265333,3.7,,53
2025,SE,2805208,Pinhão,municipal,fundamental,finais (6-9),87.7,0.88003,229.15,223.43,4.209667,3.7,,53
2025,SE,2806305,Santa Luzia do Itanhy,municipal,fundamental,finais (6-9),86.7,0.866165,227.62,228.28,4.265,3.7,,53
2025,SE,2801900,Cumbe,municipal,fundamental,finais (6-9),75.0,0.751875,246.92,240.12,4.784,3.6,,57
2025,SE,2804706,Nossa Senhora de Lourdes,municipal,fundamental,finais (6-9),86.4,0.860867,223.7,228.74,4.207333,3.6,,57
2025,SE,2800506,Areia Branca,municipal,fundamental,finais (6-9),78.1,0.779966,234.86,238.21,4.551167,3.5,,59
2025,SE,2803708,Macambira,municipal,fundamental,finais (6-9),84.3,0.84452,228.55,220.42,4.1495,3.5,,59
2025,SE,2803906,Malhador,municipal,fundamental,finais (6-9),73.9,0.74562,243.78,239.49,4.721167,3.5,,59
2025,SE,2804003,Maruim,municipal,fundamental,finais (6-9),80.7,0.809029,226.07,231.08,4.285833,3.5,,59
2025,SE,2804607,Nossa Senhora das Dores,municipal,fundamental,finais (6-9),83.5,0.832147,225.87,223.28,4.1525,3.5,,59
2025,SE,2805406,Poço Redondo,municipal,fundamental,finais (6-9),79.0,0.790046,227.43,241.56,4.483167,3.5,,59
2025,SE,2805505,Poço Verde,municipal,fundamental,finais (6-9),87.0,0.863362,214.38,227.94,4.038667,3.5,,59
2025,SE,2805901,Riachuelo,municipal,fundamental,finais (6-9),81.6,0.81152,232.47,228.66,4.352167,3.5,,59
2025,SE,2806008,Ribeirópolis,municipal,fundamental,finais (6-9),76.2,0.776428,226.2,241.44,4.460667,3.5,,59
2025,SE,2800209,Aquidabã,municipal,fundamental,finais (6-9),85.6,0.865159,219.69,219.16,3.980833,3.4,,68
2025,SE,2802205,Feira Nova,municipal,fundamental,finais (6-9),88.4,0.897512,221.18,206.51,3.794833,3.4,,68
2025,SE,2805604,Porto da Folha,municipal,fundamental,finais (6-9),85.0,0.850997,217.19,220.78,3.966167,3.4,,68
2025,SE,2803609,Laranjeiras,municipal,fundamental,finais (6-9),76.5,0.782265,215.83,215.99,3.863667,3.0,,71
2025,SE,2801108,Canhoba,municipal,fundamental,iniciais (1-5),95.6,0.954561,265.75,246.3,7.513799,7.2,,1
2025,SE,2806701,São Cristóvão,municipal,fundamental,iniciais (1-5),100.0,1.0,251.99,234.44,7.035568,7.0,,2
2025,SE,2803005,Itabaianinha,municipal,fundamental,iniciais (1-5),99.6,0.995982,229.39,212.22,6.20027,6.2,,3
2025,SE,2800308,Aracaju,municipal,fundamental,iniciais (1-5),98.3,0.983928,216.7,206.71,5.857913,5.8,,4
2025,SE,2807501,Tomar do Geru,municipal,fundamental,iniciais (1-5),96.5,0.963256,222.8,203.96,5.924325,5.7,,5
