ano,sigla_uf,id_municipio,municipio,rede,ensino,anos_escolares,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa,nota_saeb_media_padronizada,ideb,projecao,posicao_estadual,etapa,ranking_seq
2025,SE,2802403,Gararu,municipal,fundamental,iniciais (1-5),97.8,0.979004,191.51,181.01,4.909915,4.8,,49,Anos iniciais,51
2025,SE,2802700,Ilha das Flores,municipal,fundamental,iniciais (1-5),99.9,0.99839,192.25,175.27,4.819673,4.8,,49,Anos iniciais,52
2025,SE,2804706,Nossa Senhora de Lourdes,municipal,fundamental,iniciais (1-5),95.2,0.952823,197.85,181.7,5.043452,4.8,,49,Anos iniciais,53
2025,SE,2802502,General Maynard,municipal,fundamental,iniciais (1-5),100.0,1.0,186.69,174.45,4.698657,4.7,,54,Anos iniciais,54
2025,SE,2804201,Monte Alegre de Sergipe,municipal,fundamental,iniciais (1-5),97.7,0.976733,193.91,174.54,4.83808,4.7,,54,Anos iniciais,55
2025,SE,2804904,Pacatuba,municipal,fundamental,iniciais (1-5),99.8,0.997984,189.24,174.64,4.750776,4.7,,54,Anos iniciais,56
2025,SE,2806602,Santo Amaro das Brotas,municipal,fundamental,iniciais (1-5),95.0,0.943554,189.98,187.94,5.006716,4.7,,54,Anos iniciais,57
2025,SE,2803401,Japoatã,municipal,fundamental,iniciais (1-5),97.1,0.972453,184.43,180.74,4.769891,4.6,,58,Anos iniciais,58
2025,SE,2803708,Macambira,municipal,fundamental,iniciais (1-5),95.0,0.945152,191.52,177.73,4.850469,4.6,,58,Anos iniciais,59
2025,SE,2804458,Nossa Senhora Aparecida,municipal,fundamental,iniciais (1-5),94.9,0.949348,189.94,176.48,4.797589,4.6,,58,Anos iniciais,60
2025,SE,2800670,Boquim,municipal,fundamental,iniciais (1-5),94.4,0.945083,189.19,177.67,4.804913,4.5,,61,Anos iniciais,61
2025,SE,2801207,Canindé de São Francisco,municipal,fundamental,iniciais (1-5),91.4,0.914495,190.86,182.62,4.926783,4.5,,61,Anos iniciais,62
2025,SE,2804003,Maruim,municipal,fundamental,iniciais (1-5),93.3,0.9376,185.82,181.05,4.802054,4.5,,61,Anos iniciais,63
2025,SE,2803609,Laranjeiras,municipal,fundamental,iniciais (1-5),93.0,0.930637,183.79,176.77,4.685495,4.4,,64,Anos iniciais,64
2025,SE,2806305,Santa Luzia do Itanhy,municipal,fundamental,iniciais (1-5),94.8,0.945828,184.28,172.98,4.625938,4.4,,64,Anos iniciais,65
2025,SE,2803906,Malhador,municipal,fundamental,iniciais (1-5),91.6,0.914755,186.33,177.18,4.741423,4.3,,66,Anos iniciais,66
2025,SE,2807006,São Miguel do Aleixo,municipal,fundamental,iniciais (1-5),91.4,0.913834,182.06,182.14,4.750117,4.3,,66,Anos iniciais,67
2025,SE,2800209,Aquidabã,municipal,fundamental,iniciais (1-5),95.7,0.953402,176.69,169.6,4.419636,4.2,,68,Anos iniciais,68
2025,SE,2800704,Brejo Grande,municipal,fundamental,iniciais (1-5),97.7,0.977385,175.78,163.1,4.284087,4.2,,68,Anos iniciais,69
2025,SE,2802809,Indiaroba,municipal,fundamental,iniciais (1-5),97.5,0.975102,172.36,167.95,4.307002,4.2,,68,Anos iniciais,70
2025,SE,2805604,Porto da Folha,municipal,fundamental,iniciais (1-5),95.3,0.954404,179.7,163.78,4.37126,4.2,,68,Anos iniciais,71
2025,SE,2806503,Santa Rosa de Lima,municipal,fundamental,iniciais (1-5),99.1,0.988275,170.33,168.22,4.273171,4.2,,68,Anos iniciais,72
2025,SE,2805109,Pedrinhas,municipal,fundamental,iniciais (1-5),96.4,0.964558,172.61,162.53,4.213228,4.1,,73,Anos iniciais,73
2025,SE,2805406,Poço Redondo,municipal,fundamental,iniciais (1-5),93.0,0.92921,169.99,170.52,4.3085,4.0,,74,Anos iniciais,74
2025,SE,2805901,Riachuelo,municipal,fundamental,iniciais (1-5),86.6,0.868566,181.25,174.37,4.593386,4.0,,74,Anos iniciais,75
